Wafer_Thickness_um,Surface_Defect_Count,Resistance_Ohms,Voltage_V,Temperature_C,Process_Time_min,Chemical_Concentration_ppm,Surface_Roughness_nm,Pattern_Alignment_Error_nm,Classification
714.47,8,13.074,3.257,964.8,134.0,3.73,5.23,5.0,Pass
737.83,16,86.738,2.96,1085.1,83.4,17.9,8.07,54.9,Fail
694.35,16,92.97,3.352,1108.1,91.0,4.16,5.45,63.2,Fail
717.96,2,31.335,3.264,961.3,182.5,2.02,0.84,31.7,Pass
725.18,18,3.26,3.22,840.7,83.1,16.81,4.9,107.5,Fail
728.36,3,14.74,3.354,944.9,136.1,0.88,1.19,31.2,Pass
727.95,4,14.371,3.257,992.1,179.9,0.32,0.56,50.5,Pass
744.58,4,11.999,3.311,1019.1,143.2,1.67,3.05,13.7,Pass
721.49,2,19.11,3.18,937.1,169.3,3.3,3.4,31.1,Pass
737.2,1,18.367,3.302,1019.7,145.6,1.11,2.28,20.8,Pass
717.27,13,83.39,3.087,1200.7,141.9,4.15,6.47,38.9,Fail
766.28,12,7.934,3.523,903.6,130.6,27.22,5.95,40.3,Fail
721.25,18,91.022,3.224,1080.6,130.3,26.17,14.48,69.2,Fail
709.13,3,26.303,3.268,1011.3,136.1,0.76,2.88,26.2,Pass
730.2,1,20.816,3.211,1025.8,145.0,0.4,2.11,31.1,Pass
739.63,3,41.704,3.336,1050.9,161.6,2.41,0.97,19.2,Pass
727.57,2,27.566,3.292,999.2,152.6,0.19,1.26,16.2,Pass
755.53,14,8.347,3.441,879.3,139.4,4.23,3.95,55.4,Fail
747.99,5,13.816,3.332,1006.7,135.3,0.52,1.01,37.1,Pass
703.28,3,36.664,3.334,1022.8,165.7,2.53,1.61,5.0,Pass
716.57,5,45.084,3.366,994.3,161.5,0.44,2.93,30.8,Pass
717.45,4,41.014,3.334,1027.7,154.3,2.6,0.86,5.3,Pass
730.42,4,39.619,3.213,975.6,152.6,0.51,3.83,21.5,Pass
728.21,1,18.48,3.245,976.2,150.1,1.47,1.51,36.3,Pass
650.66,11,5.513,3.524,931.2,187.7,3.67,3.25,77.8,Fail
720.62,2,29.693,3.339,979.7,131.2,0.84,3.27,12.8,Pass
731.42,17,8.607,3.332,830.2,147.6,5.62,6.31,120.0,Fail
